"";"Rubrica";"Data";"Valor"
"646";"4. DESPESA TOTAL 2/";2002-04-01;16955
"647";"4. DESPESA TOTAL 2/";2002-05-01;17905
"648";"4. DESPESA TOTAL 2/";2002-06-01;17157
"649";"4. DESPESA TOTAL 2/";2002-07-01;21369
"650";"4. DESPESA TOTAL 2/";2002-08-01;18782
"651";"4. DESPESA TOTAL 2/";2002-09-01;17890
"652";"4. DESPESA TOTAL 2/";2002-10-01;21050
"653";"4. DESPESA TOTAL 2/";2002-11-01;20658
"654";"4. DESPESA TOTAL 2/";2002-12-01;32604
"655";"4. DESPESA TOTAL 2/";2003-01-01;19999
"656";"4. DESPESA TOTAL 2/";2003-02-01;18165
"657";"4. DESPESA TOTAL 2/";2003-03-01;17457
"658";"4. DESPESA TOTAL 2/";2003-04-01;17995
"659";"4. DESPESA TOTAL 2/";2003-05-01;19217
"660";"4. DESPESA TOTAL 2/";2003-06-01;20213
"661";"4. DESPESA TOTAL 2/";2003-07-01;22914
"662";"4. DESPESA TOTAL 2/";2003-08-01;20762
"663";"4. DESPESA TOTAL 2/";2003-09-01;20166
"664";"4. DESPESA TOTAL 2/";2003-10-01;23071
"665";"4. DESPESA TOTAL 2/";2003-11-01;22077
"666";"4. DESPESA TOTAL 2/";2003-12-01;38086
"667";"4. DESPESA TOTAL 2/";2004-01-01;22120
"668";"4. DESPESA TOTAL 2/";2004-02-01;21102
"669";"4. DESPESA TOTAL 2/";2004-03-01;22412
"670";"4. DESPESA TOTAL 2/";2004-04-01;22486
"671";"4. DESPESA TOTAL 2/";2004-05-01;22559
"672";"4. DESPESA TOTAL 2/";2004-06-01;23756
"673";"4. DESPESA TOTAL 2/";2004-07-01;26640
"674";"4. DESPESA TOTAL 2/";2004-08-01;24245
"675";"4. DESPESA TOTAL 2/";2004-09-01;24839
"676";"4. DESPESA TOTAL 2/";2004-10-01;25610
"677";"4. DESPESA TOTAL 2/";2004-11-01;25645
"678";"4. DESPESA TOTAL 2/";2004-12-01;44198
"679";"4. DESPESA TOTAL 2/";2005-01-01;25834
"680";"4. DESPESA TOTAL 2/";2005-02-01;26699
"681";"4. DESPESA TOTAL 2/";2005-03-01;25777
"682";"4. DESPESA TOTAL 2/";2005-04-01;23773
"683";"4. DESPESA TOTAL 2/";2005-05-01;26422
"684";"4. DESPESA TOTAL 2/";2005-06-01;28437
"685";"4. DESPESA TOTAL 2/";2005-07-01;29208
"686";"4. DESPESA TOTAL 2/";2005-08-01;28945
"687";"4. DESPESA TOTAL 2/";2005-09-01;28700
"688";"4. DESPESA TOTAL 2/";2005-10-01;29417
"689";"4. DESPESA TOTAL 2/";2005-11-01;30487
"690";"4. DESPESA TOTAL 2/";2005-12-01;51225
"691";"4. DESPESA TOTAL 2/";2006-01-01;33069
"692";"4. DESPESA TOTAL 2/";2006-02-01;27599
"693";"4. DESPESA TOTAL 2/";2006-03-01;27644
"694";"4. DESPESA TOTAL 2/";2006-04-01;26916
"695";"4. DESPESA TOTAL 2/";2006-05-01;30803
"696";"4. DESPESA TOTAL 2/";2006-06-01;31202
"697";"4. DESPESA TOTAL 2/";2006-07-01;34452
"698";"4. DESPESA TOTAL 2/";2006-08-01;31284
"699";"4. DESPESA TOTAL 2/";2006-09-01;37585
"700";"4. DESPESA TOTAL 2/";2006-10-01;33526
"701";"4. DESPESA TOTAL 2/";2006-11-01;34625
"702";"4. DESPESA TOTAL 2/";2006-12-01;55035
"703";"4. DESPESA TOTAL 2/";2007-01-01;32220
"704";"4. DESPESA TOTAL 2/";2007-02-01;30635
"705";"4. DESPESA TOTAL 2/";2007-03-01;37211
"706";"4. DESPESA TOTAL 2/";2007-04-01;32248
"707";"4. DESPESA TOTAL 2/";2007-05-01;34622
"708";"4. DESPESA TOTAL 2/";2007-06-01;35574
"709";"4. DESPESA TOTAL 2/";2007-07-01;38255
"710";"4. DESPESA TOTAL 2/";2007-08-01;36845
"711";"4. DESPESA TOTAL 2/";2007-09-01;41636
"712";"4. DESPESA TOTAL 2/";2007-10-01;36843
"713";"4. DESPESA TOTAL 2/";2007-11-01;38821
"714";"4. DESPESA TOTAL 2/";2007-12-01;63873
"715";"4. DESPESA TOTAL 2/";2008-01-01;38935
"716";"4. DESPESA TOTAL 2/";2008-02-01;33581
"717";"4. DESPESA TOTAL 2/";2008-03-01;35518
"718";"4. DESPESA TOTAL 2/";2008-04-01;36388
"719";"4. DESPESA TOTAL 2/";2008-05-01;37590
"720";"4. DESPESA TOTAL 2/";2008-06-01;38988
"721";"4. DESPESA TOTAL 2/";2008-07-01;46615
"722";"4. DESPESA TOTAL 2/";2008-08-01;40172
"723";"4. DESPESA TOTAL 2/";2008-09-01;44580
"724";"4. DESPESA TOTAL 2/";2008-10-01;41581
"725";"4. DESPESA TOTAL 2/";2008-11-01;46864
"726";"4. DESPESA TOTAL 2/";2008-12-01;76007
"727";"4. DESPESA TOTAL 2/";2009-01-01;48195
"728";"4. DESPESA TOTAL 2/";2009-02-01;38592
"729";"4. DESPESA TOTAL 2/";2009-03-01;41304
"730";"4. DESPESA TOTAL 2/";2009-04-01;43626
"731";"4. DESPESA TOTAL 2/";2009-05-01;45046
"732";"4. DESPESA TOTAL 2/";2009-06-01;46163
"733";"4. DESPESA TOTAL 2/";2009-07-01;51003
"734";"4. DESPESA TOTAL 2/";2009-08-01;47727
"735";"4. DESPESA TOTAL 2/";2009-09-01;53343
"736";"4. DESPESA TOTAL 2/";2009-10-01;48579
"737";"4. DESPESA TOTAL 2/";2009-11-01;51421
"738";"4. DESPESA TOTAL 2/";2009-12-01;64011
"739";"4. DESPESA TOTAL 2/";2010-01-01;50289
"740";"4. DESPESA TOTAL 2/";2010-02-01;45568
"741";"4. DESPESA TOTAL 2/";2010-03-01;58387
"742";"4. DESPESA TOTAL 2/";2010-04-01;51507
"743";"4. DESPESA TOTAL 2/";2010-05-01;52710
"744";"4. DESPESA TOTAL 2/";2010-06-01;50134
"745";"4. DESPESA TOTAL 2/";2010-07-01;59150
"746";"4. DESPESA TOTAL 2/";2010-08-01;54196
"747";"4. DESPESA TOTAL 2/";2010-09-01;104159
"748";"4. DESPESA TOTAL 2/";2010-10-01;55932
"749";"4. DESPESA TOTAL 2/";2010-11-01;57807
"750";"4. DESPESA TOTAL 2/";2010-12-01;67430
"751";"4. DESPESA TOTAL 2/";2011-01-01;62970
"752";"4. DESPESA TOTAL 2/";2011-02-01;48277
"753";"4. DESPESA TOTAL 2/";2011-03-01;54267
"754";"4. DESPESA TOTAL 2/";2011-04-01;60660
"755";"4. DESPESA TOTAL 2/";2011-05-01;55364
"756";"4. DESPESA TOTAL 2/";2011-06-01;59935
"757";"4. DESPESA TOTAL 2/";2011-07-01;66982
"758";"4. DESPESA TOTAL 2/";2011-08-01;58532
"759";"4. DESPESA TOTAL 2/";2011-09-01;63234
"760";"4. DESPESA TOTAL 2/";2011-10-01;61855
"761";"4. DESPESA TOTAL 2/";2011-11-01;60223
"762";"4. DESPESA TOTAL 2/";2011-12-01;81045
"763";"4. DESPESA TOTAL 2/";2012-01-01;67588
"764";"4. DESPESA TOTAL 2/";2012-02-01;53847
"765";"4. DESPESA TOTAL 2/";2012-03-01;63748
"766";"4. DESPESA TOTAL 2/";2012-04-01;71425
"767";"4. DESPESA TOTAL 2/";2012-05-01;62328
"768";"4. DESPESA TOTAL 2/";2012-06-01;65410
"769";"4. DESPESA TOTAL 2/";2012-07-01;73385
"770";"4. DESPESA TOTAL 2/";2012-08-01;66485
"771";"4. DESPESA TOTAL 2/";2012-09-01;69812
"772";"4. DESPESA TOTAL 2/";2012-10-01;69800
"773";"4. DESPESA TOTAL 2/";2012-11-01;71803
"774";"4. DESPESA TOTAL 2/";2012-12-01;80276
"775";"4. DESPESA TOTAL 2/";2013-01-01;76330
"776";"4. DESPESA TOTAL 2/";2013-02-01;61132
"777";"4. DESPESA TOTAL 2/";2013-03-01;68277
"778";"4. DESPESA TOTAL 2/";2013-04-01;85084
"779";"4. DESPESA TOTAL 2/";2013-05-01;67954
"780";"4. DESPESA TOTAL 2/";2013-06-01;74815
"781";"4. DESPESA TOTAL 2/";2013-07-01;82662
"782";"4. DESPESA TOTAL 2/";2013-08-01;73709
"783";"4. DESPESA TOTAL 2/";2013-09-01;85389
"784";"4. DESPESA TOTAL 2/";2013-10-01;82809
"785";"4. DESPESA TOTAL 2/";2013-11-01;80120
"786";"4. DESPESA TOTAL 2/";2013-12-01;86649
"787";"4. DESPESA TOTAL 2/";2014-01-01;92948
"788";"4. DESPESA TOTAL 2/";2014-02-01;69870
"789";"4. DESPESA TOTAL 2/";2014-03-01;77280
"790";"4. DESPESA TOTAL 2/";2014-04-01;81434
"791";"4. DESPESA TOTAL 2/";2014-05-01;81923
"792";"4. DESPESA TOTAL 2/";2014-06-01;81181
"793";"4. DESPESA TOTAL 2/";2014-07-01;91087
"794";"4. DESPESA TOTAL 2/";2014-08-01;93477
"795";"4. DESPESA TOTAL 2/";2014-09-01;98838
"796";"4. DESPESA TOTAL 2/";2014-10-01;88791
"797";"4. DESPESA TOTAL 2/";2014-11-01;91260
"798";"4. DESPESA TOTAL 2/";2014-12-01;98406
"799";"4. DESPESA TOTAL 2/";2015-01-01;95398
"800";"4. DESPESA TOTAL 2/";2015-02-01;77601
"801";"4. DESPESA TOTAL 2/";2015-03-01;81672
"802";"4. DESPESA TOTAL 2/";2015-04-01;91909
"803";"4. DESPESA TOTAL 2/";2015-05-01;85980
"804";"4. DESPESA TOTAL 2/";2015-06-01;90189
"805";"4. DESPESA TOTAL 2/";2015-07-01;98931
"806";"4. DESPESA TOTAL 2/";2015-08-01;84906
"807";"4. DESPESA TOTAL 2/";2015-09-01;89876
"808";"4. DESPESA TOTAL 2/";2015-10-01;101057
"809";"4. DESPESA TOTAL 2/";2015-11-01;96320
"810";"4. DESPESA TOTAL 2/";2015-12-01;170623
"811";"4. DESPESA TOTAL 2/";2016-01-01;109341
"812";"4. DESPESA TOTAL 2/";2016-02-01;92872
"813";"4. DESPESA TOTAL 2/";2016-03-01;92651
"814";"4. DESPESA TOTAL 2/";2016-04-01;94866
"815";"4. DESPESA TOTAL 2/";2016-05-01;93276
"816";"4. DESPESA TOTAL 2/";2016-06-01;93496
"817";"4. DESPESA TOTAL 2/";2016-07-01;111043
"818";"4. DESPESA TOTAL 2/";2016-08-01;95325
"819";"4. DESPESA TOTAL 2/";2016-09-01;106002
"820";"4. DESPESA TOTAL 2/";2016-10-01;91151
"821";"4. DESPESA TOTAL 2/";2016-11-01;113005
"822";"4. DESPESA TOTAL 2/";2016-12-01;156364
"823";"4. DESPESA TOTAL 2/";2017-01-01;100787
"824";"4. DESPESA TOTAL 2/";2017-02-01;95336
"825";"4. DESPESA TOTAL 2/";2017-03-01;98734
"826";"4. DESPESA TOTAL 2/";2017-04-01;95712
"827";"4. DESPESA TOTAL 2/";2017-05-01;107113
"828";"4. DESPESA TOTAL 2/";2017-06-01;106482
"829";"4. DESPESA TOTAL 2/";2017-07-01;109272
"830";"4. DESPESA TOTAL 2/";2017-08-01;101673
"831";"4. DESPESA TOTAL 2/";2017-09-01;112539
"832";"4. DESPESA TOTAL 2/";2017-10-01;98152
"833";"4. DESPESA TOTAL 2/";2017-11-01;105359
"834";"4. DESPESA TOTAL 2/";2017-12-01;147847
"835";"4. DESPESA TOTAL 2/";2018-01-01;105357
"836";"4. DESPESA TOTAL 2/";2018-02-01;97480
"837";"4. DESPESA TOTAL 2/";2018-03-01;114123
"838";"4. DESPESA TOTAL 2/";2018-04-01;112054
"839";"4. DESPESA TOTAL 2/";2018-05-01;102305
"840";"4. DESPESA TOTAL 2/";2018-06-01;105295
"841";"4. DESPESA TOTAL 2/";2018-07-01;113962
"842";"4. DESPESA TOTAL 2/";2018-08-01;112219
"843";"4. DESPESA TOTAL 2/";2018-09-01;119634
"844";"4. DESPESA TOTAL 2/";2018-10-01;105316
"845";"4. DESPESA TOTAL 2/";2018-11-01;115590
"846";"4. DESPESA TOTAL 2/";2018-12-01;148424
"847";"4. DESPESA TOTAL 2/";2019-01-01;106813
"848";"4. DESPESA TOTAL 2/";2019-02-01;103604
"849";"4. DESPESA TOTAL 2/";2019-03-01;115502
"850";"4. DESPESA TOTAL 2/";2019-04-01;118174
"851";"4. DESPESA TOTAL 2/";2019-05-01;105520
"852";"4. DESPESA TOTAL 2/";2019-06-01;104272
"853";"4. DESPESA TOTAL 2/";2019-07-01;120175
"854";"4. DESPESA TOTAL 2/";2019-08-01;111019
"855";"4. DESPESA TOTAL 2/";2019-09-01;123448
"856";"4. DESPESA TOTAL 2/";2019-10-01;107963
"857";"4. DESPESA TOTAL 2/";2019-11-01;118425
"858";"4. DESPESA TOTAL 2/";2019-12-01;206929
"859";"4. DESPESA TOTAL 2/";2020-01-01;107566
"860";"4. DESPESA TOTAL 2/";2020-02-01;108256
"861";"4. DESPESA TOTAL 2/";2020-03-01;112887
"862";"4. DESPESA TOTAL 2/";2020-04-01;175078
"863";"4. DESPESA TOTAL 2/";2020-05-01;180637
"864";"4. DESPESA TOTAL 2/";2020-06-01;259841
"865";"4. DESPESA TOTAL 2/";2020-07-01;178138
"866";"4. DESPESA TOTAL 2/";2020-08-01;198197
"867";"4. DESPESA TOTAL 2/";2020-09-01;182766
"868";"4. DESPESA TOTAL 2/";2020-10-01;136645
"869";"4. DESPESA TOTAL 2/";2020-11-01;131381
"870";"4. DESPESA TOTAL 2/";2020-12-01;175744
"871";"4. DESPESA TOTAL 2/";2021-01-01;112073
"872";"4. DESPESA TOTAL 2/";2021-02-01;116505
"873";"4. DESPESA TOTAL 2/";2021-03-01;116031
